,Code,landline_cpoints,internet_cpoint,mobile_cpoints
161,ROU,0.0,2010.0,2005.0
162,RUS,0.0,2010.0,2005.0
163,RWA,2015.0,0.0,2010.0
164,SAU,0.0,2015.0,2005.0
165,SDN,2015.0,0.0,2010.0
166,SEN,0.0,2015.0,2010.0
167,SGP,2010.0,2010.0,2010.0
168,SLB,2015.0,0.0,2010.0
169,SLE,2010.0,2015.0,2010.0
170,SLV,0.0,2010.0,2010.0
171,SMR,2010.0,0.0,2010.0
172,SOM,0.0,0.0,2015.0
173,SRB,0.0,2010.0,0.0
174,SSD,0.0,,0.0
175,STP,2015.0,2010.0,2010.0
176,SUR,0.0,2010.0,0.0
177,SVK,2015.0,2010.0,0.0
178,SVN,2015.0,2010.0,2010.0
179,SWE,2015.0,0.0,2010.0
180,SWZ,0.0,2010.0,2010.0
181,SYC,2015.0,0.0,2010.0
182,SYR,0.0,2010.0,2010.0
183,TCA,0.0,,
184,TCD,0.0,0.0,2010.0
185,TGO,0.0,0.0,2010.0
186,THA,2015.0,2015.0,2010.0
187,TJK,2010.0,0.0,2010.0
188,TKM,2010.0,0.0,2010.0
189,TLS,2017.0,2012.0,2012.0
190,TON,0.0,2010.0,0.0
191,TTO,0.0,2010.0,2005.0
192,TUN,0.0,2010.0,2010.0
193,TUR,2010.0,2010.0,2005.0
194,TUV,2015.0,0.0,2015.0
195,TZA,2015.0,2015.0,2010.0
196,UGA,0.0,2010.0,2010.0
197,UKR,2015.0,2010.0,2005.0
198,URY,2015.0,2010.0,2010.0
199,USA,2010.0,2015.0,2010.0
200,UZB,2015.0,2015.0,2010.0
201,VCT,0.0,2010.0,0.0
202,VEN,0.0,2010.0,2005.0
203,VGB,0.0,,0.0
204,VIR,0.0,0.0,
205,VNM,0.0,2010.0,2010.0
206,VUT,2010.0,2015.0,2010.0
207,WSM,0.0,2015.0,0.0
208,YEM,0.0,2010.0,2010.0
209,ZAF,0.0,2010.0,2010.0
210,ZMB,0.0,2015.0,2010.0
211,ZWE,0.0,2015.0,2010.0
